run_name,file,entries_detected
ABC_dedup_BC,ft_ABC_dedup_BC_qwen27_humaneval_mistral_conc12_evaluation_details.json,164
ABC_filtered_accept_AB_shuffle,ft_ABC_filtered_accept_AB_shuffle_qwen27_humaneval_mistral_conc12_evaluation_details.json,164
ABC_filtered_accept_AC_shuffle,ft_ABC_filtered_accept_AC_shuffle_qwen27_humaneval_mistral_conc12_evaluation_details.json,164
ABC_filtered_accept_A,ft_ABC_filtered_accept_A_qwen27_humaneval_mistral_conc12_evaluation_details.json,164
ABC_filtered_accept_BC_shuffle,ft_ABC_filtered_accept_BC_shuffle_qwen27_humaneval_mistral_conc12_evaluation_details.json,164
ABC_filtered_accept_B,ft_ABC_filtered_accept_B_qwen27_humaneval_mistral_conc12_evaluation_details.json,164
ABC_filtered_accept_C,ft_ABC_filtered_accept_C_qwen27_humaneval_mistral_conc12_evaluation_details.json,164
ABC_filtered_accept,ft_ABC_filtered_accept_qwen27_humaneval_mistral_conc12_evaluation_details.json,164
ABC_filtered_manual,ft_ABC_filtered_manual_qwen27_humaneval_mistral_conc12_evaluation_details.json,164
ABC_filtered_reject,ft_ABC_filtered_reject_qwen27_humaneval_mistral_conc12_evaluation_details.json,164
ABC_source_burkardt,ft_ABC_source_burkardt_qwen27_humaneval_mistral_conc12_evaluation_details.json,164
ABC_source_fortran_lang,ft_ABC_source_fortran_lang_qwen27_humaneval_mistral_conc12_evaluation_details.json,164
ABC_source_numericalhub,ft_ABC_source_numericalhub_qwen27_humaneval_mistral_conc12_evaluation_details.json,164
AB_antineighbor,ft_AB_antineighbor_qwen27_humaneval_mistral_conc12_evaluation_details.json,164
A,ft_A_qwen27_humaneval_mistral_conc12_evaluation_details.json,164
