run_name,family,task_id,status,ok,failure_category,diagnostic,detail_file
ABC_dedup_BC,abc_dedup_bc,0,compile_err,0,compile_error,status=compile_err | score=0 | extraction_status=ok,ft_ABC_dedup_BC_qwen27_humaneval_mistral_conc12_evaluation_details.json
ABC_dedup_BC,abc_dedup_bc,1,compile_err,0,compile_error,status=compile_err | score=0 | extraction_status=ok,ft_ABC_dedup_BC_qwen27_humaneval_mistral_conc12_evaluation_details.json
ABC_dedup_BC,abc_dedup_bc,2,ok,1,ok,status=ok | score=1 | extraction_status=ok,ft_ABC_dedup_BC_qwen27_humaneval_mistral_conc12_evaluation_details.json
ABC_dedup_BC,abc_dedup_bc,3,ineq,0,wrong_output,status=ineq | score=0 | extraction_status=ok,ft_ABC_dedup_BC_qwen27_humaneval_mistral_conc12_evaluation_details.json
ABC_dedup_BC,abc_dedup_bc,4,ineq,0,wrong_output,status=ineq | score=0 | extraction_status=ok,ft_ABC_dedup_BC_qwen27_humaneval_mistral_conc12_evaluation_details.json
ABC_dedup_BC,abc_dedup_bc,5,ineq,0,wrong_output,status=ineq | score=0 | extraction_status=ok,ft_ABC_dedup_BC_qwen27_humaneval_mistral_conc12_evaluation_details.json
ABC_dedup_BC,abc_dedup_bc,6,ineq,0,wrong_output,status=ineq | score=0 | extraction_status=ok,ft_ABC_dedup_BC_qwen27_humaneval_mistral_conc12_evaluation_details.json
ABC_dedup_BC,abc_dedup_bc,7,ineq,0,wrong_output,status=ineq | score=0 | extraction_status=ok,ft_ABC_dedup_BC_qwen27_humaneval_mistral_conc12_evaluation_details.json
ABC_dedup_BC,abc_dedup_bc,8,ineq,0,wrong_output,status=ineq | score=0 | extraction_status=ok,ft_ABC_dedup_BC_qwen27_humaneval_mistral_conc12_evaluation_details.json
ABC_dedup_BC,abc_dedup_bc,9,ineq,0,wrong_output,status=ineq | score=0 | extraction_status=ok,ft_ABC_dedup_BC_qwen27_humaneval_mistral_conc12_evaluation_details.json
ABC_dedup_BC,abc_dedup_bc,10,compile_err,0,compile_error,status=compile_err | score=0 | extraction_status=warning,ft_ABC_dedup_BC_qwen27_humaneval_mistral_conc12_evaluation_details.json
ABC_dedup_BC,abc_dedup_bc,11,ineq,0,wrong_output,status=ineq | score=0 | extraction_status=ok,ft_ABC_dedup_BC_qwen27_humaneval_mistral_conc12_evaluation_details.json
ABC_dedup_BC,abc_dedup_bc,12,compile_err,0,compile_error,status=compile_err | score=0 | extraction_status=ok,ft_ABC_dedup_BC_qwen27_humaneval_mistral_conc12_evaluation_details.json
ABC_dedup_BC,abc_dedup_bc,13,compile_err,0,compile_error,status=compile_err | score=0 | extraction_status=ok,ft_ABC_dedup_BC_qwen27_humaneval_mistral_conc12_evaluation_details.json
ABC_dedup_BC,abc_dedup_bc,14,runtime_err,0,runtime_error,status=runtime_err | score=0 | extraction_status=ok,ft_ABC_dedup_BC_qwen27_humaneval_mistral_conc12_evaluation_details.json
ABC_dedup_BC,abc_dedup_bc,15,ok,1,ok,status=ok | score=1 | extraction_status=ok,ft_ABC_dedup_BC_qwen27_humaneval_mistral_conc12_evaluation_details.json
ABC_dedup_BC,abc_dedup_bc,16,ineq,0,wrong_output,status=ineq | score=0 | extraction_status=ok,ft_ABC_dedup_BC_qwen27_humaneval_mistral_conc12_evaluation_details.json
ABC_dedup_BC,abc_dedup_bc,17,ineq,0,wrong_output,status=ineq | score=0 | extraction_status=ok,ft_ABC_dedup_BC_qwen27_humaneval_mistral_conc12_evaluation_details.json
ABC_dedup_BC,abc_dedup_bc,18,compile_err,0,compile_error,status=compile_err | score=0 | extraction_status=ok,ft_ABC_dedup_BC_qwen27_humaneval_mistral_conc12_evaluation_details.json
ABC_dedup_BC,abc_dedup_bc,19,runtime_err,0,runtime_error,status=runtime_err | score=0 | extraction_status=ok,ft_ABC_dedup_BC_qwen27_humaneval_mistral_conc12_evaluation_details.json
ABC_dedup_BC,abc_dedup_bc,20,compile_err,0,compile_error,status=compile_err | score=0 | extraction_status=ok,ft_ABC_dedup_BC_qwen27_humaneval_mistral_conc12_evaluation_details.json
ABC_dedup_BC,abc_dedup_bc,21,ineq,0,wrong_output,status=ineq | score=0 | extraction_status=ok,ft_ABC_dedup_BC_qwen27_humaneval_mistral_conc12_evaluation_details.json
ABC_dedup_BC,abc_dedup_bc,22,runtime_err,0,runtime_error,status=runtime_err | score=0 | extraction_status=ok,ft_ABC_dedup_BC_qwen27_humaneval_mistral_conc12_evaluation_details.json
ABC_dedup_BC,abc_dedup_bc,23,runtime_err,0,runtime_error,status=runtime_err | score=0 | extraction_status=ok,ft_ABC_dedup_BC_qwen27_humaneval_mistral_conc12_evaluation_details.json
