model_key,details_file,task_id,base_status,ft_status,category
ft_ABC_Strong_humaneval_mistral_conc20,epoch1/learning_rate_1/results/ft_ABC_Strong_humaneval_mistral_conc20_evaluation_details.json,0,runtime_err,ok,base_fail_ft_ok
ft_ABC_Strong_humaneval_mistral_conc20,epoch1/learning_rate_1/results/ft_ABC_Strong_humaneval_mistral_conc20_evaluation_details.json,1,ineq,compile_err,base_fail_ft_fail
ft_ABC_Strong_humaneval_mistral_conc20,epoch1/learning_rate_1/results/ft_ABC_Strong_humaneval_mistral_conc20_evaluation_details.json,2,ok,compile_err,base_ok_ft_fail
ft_ABC_Strong_humaneval_mistral_conc20,epoch1/learning_rate_1/results/ft_ABC_Strong_humaneval_mistral_conc20_evaluation_details.json,3,runtime_err,runtime_err,base_fail_ft_fail
ft_ABC_Strong_humaneval_mistral_conc20,epoch1/learning_rate_1/results/ft_ABC_Strong_humaneval_mistral_conc20_evaluation_details.json,4,runtime_err,compile_err,base_fail_ft_fail
ft_ABC_Strong_humaneval_mistral_conc20,epoch1/learning_rate_1/results/ft_ABC_Strong_humaneval_mistral_conc20_evaluation_details.json,5,runtime_err,runtime_err,base_fail_ft_fail
ft_ABC_Strong_humaneval_mistral_conc20,epoch1/learning_rate_1/results/ft_ABC_Strong_humaneval_mistral_conc20_evaluation_details.json,6,compile_err,runtime_err,base_fail_ft_fail
ft_ABC_Strong_humaneval_mistral_conc20,epoch1/learning_rate_1/results/ft_ABC_Strong_humaneval_mistral_conc20_evaluation_details.json,7,runtime_err,runtime_err,base_fail_ft_fail
ft_ABC_Strong_humaneval_mistral_conc20,epoch1/learning_rate_1/results/ft_ABC_Strong_humaneval_mistral_conc20_evaluation_details.json,8,ineq,ok,base_fail_ft_ok
ft_ABC_Strong_humaneval_mistral_conc20,epoch1/learning_rate_1/results/ft_ABC_Strong_humaneval_mistral_conc20_evaluation_details.json,9,compile_err,runtime_err,base_fail_ft_fail
ft_ABC_Strong_humaneval_mistral_conc20,epoch1/learning_rate_1/results/ft_ABC_Strong_humaneval_mistral_conc20_evaluation_details.json,10,runtime_err,compile_err,base_fail_ft_fail
ft_ABC_Strong_humaneval_mistral_conc20,epoch1/learning_rate_1/results/ft_ABC_Strong_humaneval_mistral_conc20_evaluation_details.json,11,runtime_err,ineq,base_fail_ft_fail
ft_ABC_Strong_humaneval_mistral_conc20,epoch1/learning_rate_1/results/ft_ABC_Strong_humaneval_mistral_conc20_evaluation_details.json,12,runtime_err,compile_err,base_fail_ft_fail
ft_ABC_Strong_humaneval_mistral_conc20,epoch1/learning_rate_1/results/ft_ABC_Strong_humaneval_mistral_conc20_evaluation_details.json,13,compile_err,compile_err,base_fail_ft_fail
ft_ABC_Strong_humaneval_mistral_conc20,epoch1/learning_rate_1/results/ft_ABC_Strong_humaneval_mistral_conc20_evaluation_details.json,14,runtime_err,compile_err,base_fail_ft_fail
ft_ABC_Strong_humaneval_mistral_conc20,epoch1/learning_rate_1/results/ft_ABC_Strong_humaneval_mistral_conc20_evaluation_details.json,15,ineq,ineq,base_fail_ft_fail
ft_ABC_Strong_humaneval_mistral_conc20,epoch1/learning_rate_1/results/ft_ABC_Strong_humaneval_mistral_conc20_evaluation_details.json,16,runtime_err,ineq,base_fail_ft_fail
ft_ABC_Strong_humaneval_mistral_conc20,epoch1/learning_rate_1/results/ft_ABC_Strong_humaneval_mistral_conc20_evaluation_details.json,17,runtime_err,compile_err,base_fail_ft_fail
ft_ABC_Strong_humaneval_mistral_conc20,epoch1/learning_rate_1/results/ft_ABC_Strong_humaneval_mistral_conc20_evaluation_details.json,18,ok,compile_err,base_ok_ft_fail
ft_ABC_Strong_humaneval_mistral_conc20,epoch1/learning_rate_1/results/ft_ABC_Strong_humaneval_mistral_conc20_evaluation_details.json,19,compile_err,runtime_err,base_fail_ft_fail
ft_ABC_Strong_humaneval_mistral_conc20,epoch1/learning_rate_1/results/ft_ABC_Strong_humaneval_mistral_conc20_evaluation_details.json,20,ok,compile_err,base_ok_ft_fail
ft_ABC_Strong_humaneval_mistral_conc20,epoch1/learning_rate_1/results/ft_ABC_Strong_humaneval_mistral_conc20_evaluation_details.json,21,ok,ok,base_ok_ft_ok
ft_ABC_Strong_humaneval_mistral_conc20,epoch1/learning_rate_1/results/ft_ABC_Strong_humaneval_mistral_conc20_evaluation_details.json,22,runtime_err,compile_err,base_fail_ft_fail
ft_ABC_Strong_humaneval_mistral_conc20,epoch1/learning_rate_1/results/ft_ABC_Strong_humaneval_mistral_conc20_evaluation_details.json,23,runtime_err,compile_err,base_fail_ft_fail
ft_ABC_Strong_humaneval_mistral_conc20,epoch1/learning_rate_1/results/ft_ABC_Strong_humaneval_mistral_conc20_evaluation_details.json,24,ok,ineq,base_ok_ft_fail
ft_ABC_Strong_humaneval_mistral_conc20,epoch1/learning_rate_1/results/ft_ABC_Strong_humaneval_mistral_conc20_evaluation_details.json,25,ok,compile_err,base_ok_ft_fail
ft_ABC_Strong_humaneval_mistral_conc20,epoch1/learning_rate_1/results/ft_ABC_Strong_humaneval_mistral_conc20_evaluation_details.json,26,compile_err,compile_err,base_fail_ft_fail
ft_ABC_Strong_humaneval_mistral_conc20,epoch1/learning_rate_1/results/ft_ABC_Strong_humaneval_mistral_conc20_evaluation_details.json,27,runtime_err,ineq,base_fail_ft_fail
ft_ABC_Strong_humaneval_mistral_conc20,epoch1/learning_rate_1/results/ft_ABC_Strong_humaneval_mistral_conc20_evaluation_details.json,28,runtime_err,ineq,base_fail_ft_fail
ft_ABC_Strong_humaneval_mistral_conc20,epoch1/learning_rate_1/results/ft_ABC_Strong_humaneval_mistral_conc20_evaluation_details.json,29,runtime_err,compile_err,base_fail_ft_fail
ft_ABC_Strong_humaneval_mistral_conc20,epoch1/learning_rate_1/results/ft_ABC_Strong_humaneval_mistral_conc20_evaluation_details.json,30,runtime_err,runtime_err,base_fail_ft_fail
ft_ABC_Strong_humaneval_mistral_conc20,epoch1/learning_rate_1/results/ft_ABC_Strong_humaneval_mistral_conc20_evaluation_details.json,31,ok,compile_err,base_ok_ft_fail
ft_ABC_Strong_humaneval_mistral_conc20,epoch1/learning_rate_1/results/ft_ABC_Strong_humaneval_mistral_conc20_evaluation_details.json,32,ineq,compile_err,base_fail_ft_fail
ft_ABC_Strong_humaneval_mistral_conc20,epoch1/learning_rate_1/results/ft_ABC_Strong_humaneval_mistral_conc20_evaluation_details.json,33,compile_err,ineq,base_fail_ft_fail
ft_ABC_Strong_humaneval_mistral_conc20,epoch1/learning_rate_1/results/ft_ABC_Strong_humaneval_mistral_conc20_evaluation_details.json,34,ineq,compile_err,base_fail_ft_fail
ft_ABC_Strong_humaneval_mistral_conc20,epoch1/learning_rate_1/results/ft_ABC_Strong_humaneval_mistral_conc20_evaluation_details.json,35,runtime_err,ok,base_fail_ft_ok
ft_ABC_Strong_humaneval_mistral_conc20,epoch1/learning_rate_1/results/ft_ABC_Strong_humaneval_mistral_conc20_evaluation_details.json,36,ok,ok,base_ok_ft_ok
ft_ABC_Strong_humaneval_mistral_conc20,epoch1/learning_rate_1/results/ft_ABC_Strong_humaneval_mistral_conc20_evaluation_details.json,37,runtime_err,runtime_err,base_fail_ft_fail
ft_ABC_Strong_humaneval_mistral_conc20,epoch1/learning_rate_1/results/ft_ABC_Strong_humaneval_mistral_conc20_evaluation_details.json,38,ineq,compile_err,base_fail_ft_fail
ft_ABC_Strong_humaneval_mistral_conc20,epoch1/learning_rate_1/results/ft_ABC_Strong_humaneval_mistral_conc20_evaluation_details.json,39,compile_err,compile_err,base_fail_ft_fail
ft_ABC_Strong_humaneval_mistral_conc20,epoch1/learning_rate_1/results/ft_ABC_Strong_humaneval_mistral_conc20_evaluation_details.json,40,runtime_err,runtime_err,base_fail_ft_fail
ft_ABC_Strong_humaneval_mistral_conc20,epoch1/learning_rate_1/results/ft_ABC_Strong_humaneval_mistral_conc20_evaluation_details.json,41,ok,compile_err,base_ok_ft_fail
ft_ABC_Strong_humaneval_mistral_conc20,epoch1/learning_rate_1/results/ft_ABC_Strong_humaneval_mistral_conc20_evaluation_details.json,42,runtime_err,runtime_err,base_fail_ft_fail
ft_ABC_Strong_humaneval_mistral_conc20,epoch1/learning_rate_1/results/ft_ABC_Strong_humaneval_mistral_conc20_evaluation_details.json,43,runtime_err,compile_err,base_fail_ft_fail
ft_ABC_Strong_humaneval_mistral_conc20,epoch1/learning_rate_1/results/ft_ABC_Strong_humaneval_mistral_conc20_evaluation_details.json,44,ineq,compile_err,base_fail_ft_fail
ft_ABC_Strong_humaneval_mistral_conc20,epoch1/learning_rate_1/results/ft_ABC_Strong_humaneval_mistral_conc20_evaluation_details.json,45,ok,compile_err,base_ok_ft_fail
ft_ABC_Strong_humaneval_mistral_conc20,epoch1/learning_rate_1/results/ft_ABC_Strong_humaneval_mistral_conc20_evaluation_details.json,46,ineq,compile_err,base_fail_ft_fail
